,Country,Sno,Date,Province/State,Last Update,Confirmed,Deaths,Recovered
0,Australia,1696,02/17/2020 22:00:00,missing,2020-07-02 01:03:00,5.0,0.0,4.0
1,Belgium,1704,02/17/2020 22:00:00,missing,2020-04-02 15:43:00,1.0,0.0,1.0
2,Brazil,83,01/23/2020 12:00:00,missing,01/23/2020 12:00:00,0.0,0.0,0.0
3,Cambodia,1705,02/17/2020 22:00:00,missing,2020-02-12T07:43:02,1.0,0.0,1.0
4,Canada,1706,02/17/2020 22:00:00,"Toronto, ON",2020-07-02 05:43:00,5.0,0.0,1.0
5,China,35,01/22/2020 12:00:00,Zhejiang,01/22/2020 12:00:00,444.0,0.0,0.0
6,Egypt,1707,02/17/2020 22:00:00,missing,2020-02-14T23:53:02,1.0,0.0,0.0
7,Finland,1708,02/17/2020 22:00:00,missing,2020-02-12T00:03:12,1.0,0.0,1.0
8,France,1685,02/17/2020 22:00:00,missing,2020-08-02 09:53:00,12.0,1.0,4.0
9,Germany,1683,02/17/2020 22:00:00,missing,2020-07-02 16:33:00,16.0,0.0,1.0
10,Hong Kong,1677,02/17/2020 22:00:00,Hong Kong,2020-08-02 00:03:00,60.0,1.0,2.0
11,India,1693,02/17/2020 22:00:00,missing,2020-03-02 21:43:00,3.0,0.0,3.0
12,Italy,1694,02/17/2020 22:00:00,missing,2020-07-02 17:53:00,3.0,0.0,0.0
13,Ivory Coast,264,01/27/2020 20:30:00,missing,01/27/2020 20:30:00,0.0,0.0,0.0
14,Japan,1676,02/17/2020 22:00:00,missing,2020-07-02 04:13:00,66.0,1.0,12.0
15,Macau,1686,02/17/2020 22:00:00,Macau,2020-06-02 14:23:00,10.0,0.0,5.0
17,Malaysia,1680,02/17/2020 22:00:00,missing,2020-08-02 10:23:00,22.0,0.0,7.0
18,Mexico,82,01/23/2020 12:00:00,missing,01/23/2020 12:00:00,0.0,0.0,0.0
19,Nepal,1710,02/17/2020 22:00:00,missing,2020-02-12T14:43:03,1.0,0.0,1.0
20,Others,1657,02/17/2020 22:00:00,Diamond Princess cruise ship,2020-07-02 16:33:00,454.0,0.0,0.0
21,Philippines,1695,02/17/2020 22:00:00,missing,2020-07-02 16:43:00,3.0,1.0,1.0
22,Russia,1698,02/17/2020 22:00:00,missing,2020-02-12T14:43:03,2.0,0.0,2.0
23,Singapore,1672,02/17/2020 22:00:00,missing,2020-09-02 02:43:00,77.0,0.0,24.0
24,South Korea,1679,02/17/2020 22:00:00,missing,2020-09-02 02:33:00,30.0,0.0,10.0
25,Spain,1699,02/17/2020 22:00:00,missing,2020-02-15T17:23:04,2.0,0.0,2.0
26,Sri Lanka,1711,02/17/2020 22:00:00,missing,2020-08-02 03:43:00,1.0,0.0,1.0
27,Sweden,1712,02/17/2020 22:00:00,missing,2020-02-01T02:13:26,1.0,0.0,0.0
28,Taiwan,1681,02/17/2020 22:00:00,Taiwan,2020-08-02 05:23:00,22.0,1.0,2.0
29,Thailand,1678,02/17/2020 22:00:00,missing,2020-08-02 12:53:00,35.0,0.0,15.0
30,UK,1687,02/17/2020 22:00:00,missing,2020-07-02 18:33:00,9.0,0.0,8.0
31,US,1719,02/17/2020 22:00:00,Washington,2020-05-02 21:53:00,3.0,0.0,2.0
32,United Arab Emirates,1688,02/17/2020 22:00:00,missing,2020-08-02 07:03:00,9.0,0.0,4.0
33,Vietnam,1684,02/17/2020 22:00:00,missing,2020-08-02 07:23:00,16.0,0.0,7.0
